temp,pH,DO,Conductivity,Turbidity,Next_DO
9.1,8,10.2,820.9,12.8,10.1
9.1,8,10.1,831.2,10.8,10.2
8.3,8,10.2,858.5,9.5,10
10.2,8,10,859.4,16.4,10.4
11,8,10.4,865.1,11.2,9.8
10.2,8,9.8,882.4,14.6,9.8
9.6,8,9.8,871.7,13.8,9.6
9.4,8,9.6,834.3,12.2,9.6
8.4,8,9.6,861.2,11,10.6
9.9,8,10.6,884.3,9.1,10.6
10.4,8,10.6,914.7,10.6,10.2
10.1,8,10.2,922.9,8.6,10
9.8,8,10,921.9,9.9,9.4
9.5,8,9.4,864.1,10.8,9.2
8.8,8,9.2,899.2,10.8,9.4
10.3,8,9.4,869.7,10,9.3
11,8,9.3,844.4,12.2,9.4
10.1,8,9.4,875.4,11.2,9.1
9.9,8,9.1,897,13.6,8.9
9.6,8,8.9,885,13.2,8.6
9,8,8.6,895.7,12.9,9.3
10.4,8,9.3,882.7,10.6,9.4
11.2,8,9.4,905.1,8.8,9.1
10.8,8,9.1,835.6,14.1,9.1
10.4,8,9.1,880.8,12.2,9.1
10.3,8,9.1,880.8,10.6,8.9
9.5,8,8.9,896.1,11.1,9.5
10.7,8,9.5,900.9,9.4,9.3
11,8,9.3,933.6,9.9,9
10.5,8,9,878.1,14.8,8.7
10.2,8,8.7,891.2,12.9,8.5
10,8,8.5,901.8,14.2,8.7
9.3,8,8.7,962.6,10.6,9
10.55,8,9,945.5,9.9,9.3
11.8,8,9.3,928.4,9.2,8.9
11.2,8,8.9,896.2,10.3,8.55
10.8,8,8.55,873.2,14.85,8.2
10.4,8,8.2,850.2,19.4,8.1
9.6,8,8.1,873.6,16.4,8.3
10.9,8,8.3,840.5,19.1,8.8
11.2,8,8.8,857.8,15,9.1
10.8,8,9.1,899.7,13.9,9.3
10.7,8,9.3,926.5,12.25,9.5
10.6,8,9.5,953.3,10.6,9.7
9.8,8,9.7,982.4,10.1,10.2
10.6,8,10.2,896.1,9.7,10.2
10.7,8,10.2,903.1,10.7,10
10.6,8,10,910.8,10.8,9.85
10.35,8,9.85,917.1,11.05,9.7
10.1,8,9.7,923.4,11.3,9.8
9.2,8,9.8,952.3,11.6,10
10.3,8,10,928.1,10.2,10.2
10.4,8,10.2,917.6,12.2,10.1
10.2,8,10.1,919.4,13.9,9.95
9.85,8,9.95,921.5,13.45,9.8
9.5,8,9.8,923.6,13,9.9
8.7,8,9.9,958.5,13.1,10.7
9.7,8,10.7,960.1,13,10.2
10.8,8,10.2,921,9.8,10.1
